,Name,Father_Name12,DOB12,Place_Of_Birth12,Education12,Profession12,Permanent_Address12,Present_Address12
93,Naidu  Shri Girajala Venkata Swamy,Late Shri Girajalaveeraju,2/2/1955,"Kadiyam, Distt. East Godavari (Andhra Pradesh)",NA,NA,NA,NA
94,Naik  Shri Ravi Sitaram,Shri Sitaram,18/09/1946,"Ponda, Distt. North Goa (Goa)",NA,NA,NA,NA
95,Naik  Shri Sudhakarrao Rajusing,Shri Rajusing,21/08/1934,"Gahuli, Distt Yavatmal (Maharashtra)",NA,NA,NA,NA
96,Nakli Singh  Shri,Choudhary Sardar Singh,1/1/1943,"Vill. Janghera Shamaspur, Distt. Saharanpur
		 	(Uttar Pradesh)",NA,NA,NA,NA
97,Nam  Shri Shankar Sakharam,Shri Sakharam,28/02/1949,"Tawa, Distt. Thane (Maharashtra)",NA,NA,NA,NA
98,Naqvi  Shri Mukhtar Abbas,Shri Akhtarul Hassan Naqvi,15/10/1957,Allahabad (Uttar Pradesh),NA,NA,NA,NA
99,Nayak  Shri Upendra Nath,Shri Chaudhuri Nayak,9/1/1948,"Dalangapani, Distt. Keonjhar (Orissa)",NA,NA,NA,NA
100,Om Prakash  Shri,Shri Gaya Prasad,13/05/1959,"Sewarai, Distt. Ghazipur (Uttar Pradesh)",NA,NA,NA,NA
101,Omvati Devi  Smt.,Late Shri Chhotia Singh,2/5/1905,"Vill. Takhawali, Bijnor (Uttar Pradesh)",NA,NA,NA,NA
102,Palaniswami  Shri K.,Shri V. Karuppa Gounder,12/5/1954,"Siluvampalayam, Distt. Salem (Tamil Nadu)",NA,NA,NA,NA
103,Panneerselvam  Shri Kanchi,Shri K.A. Ananda Mudaliar,29/06/1948,Kancheepuram (Tamil Nadu),NA,NA,NA,NA
104,Pannu  Er. Shankar,Shri Jewan Ram Pannu,18/11/1949,"Arayan, Distt. Sri Ganganagar (Rajasthan)",NA,NA,NA,NA
105,Pant  Smt. Ila,Late Shri Govind Ballabh Pande,10/3/1938,Nainital (Uttar Pradesh),NA,NA,NA,NA
106,Paranjpe  Shri Baburao,Late Shri Mukundrao,23/09/1922,"Budhar, Distt. Shahdol (Madhya Pradesh)",NA,NA,NA,NA
107,Parmasivam Raja  Shri,Shri Rajakkannu,13/07/1962,"Neduvasal West, Distt. Pudukkottai (Tamil Nadu)",NA,NA,NA,NA
108,Paswan  Shri Pitambar,Late Shri Jhamman Paswan,21/08/1950,Married on 17 March 1970,NA,NA,NA,NA
109,Patel  Dr. A.K.,Shri Kalidas Patel,1/7/1931,"Vadu, Distt. Mehsana (Gujarat)",NA,NA,NA,NA
110,Patel  Shri Jang Bahadur Singh,Late Shri Baijnath Prasad,1/8/1947,"Rajapur, Allahabad (Uttar Pradesh)",NA,NA,NA,NA
111,Patel  Shri Shantilal Purshottamdas,Late Shri Purshottamdas Patel,8/4/1938,"Ranjit Nagar, Distt. Panchmahal 
			(Gujarat)",NA,NA,NA,NA
112,Pathak  Shri Ananda,Late Shri Kamala Kanta Pathak,15/01/1930,"Haridas Hatta, Distt. Darjeeling (West Bengal)",NA,NA,NA,NA
113,Patidar  Shri Rameshwar,Shri Bhilaji Patidar,10/11/1938,"Khalghat, Distt. Dhar (Madhya Pradesh)",NA,NA,NA,NA
114,Patil  Shri Babagouda,Shri Rudragouda,6/1/1945,"Chik-Bagewadi, Distt. Belgaum (Karnataka)",NA,NA,NA,NA
115,Patil  Shri Madan,Shri Vishwanathrao Shamrao Patil,2/12/1960,Sangli (Maharashtra),NA,NA,NA,NA
116,Patil  Shri Madhavrao,Shri Balawant Patil,21/01/1940,Nashik (Maharashtra),NA,NA,NA,NA
117,Patil  Shri Mallanagouda Basanagouda,Shri Basanagouda Mallanagouda Patil,7/10/1964,Bijapur (Karnataka),NA,NA,NA,NA
118,Patil  Shri Ramkrishna Baba,Shri Jagannath Patil,2/9/1936,"Dhagoan, Distt. Aurangabad (Maharashtra)",NA,NA,NA,NA
119,Patil  Dr. Ulhas Vasudeo,Shri Vasudeo,23/02/1960,"Vivare, Distt. Jalgaon (Maharashtra)",NA,NA,NA,NA
120,Patnaik  Smt. Jayanti,Late Shri Niranjan Patnaik,7/4/1932,"Aska, Distt. Ganjam (Orissa)",NA,NA,NA,NA
121,Pawar  Shri Uttamsingh R.,Shri Rajdharsingh Pawar,13/01/1950,"Anad, Distt. Aurangabad (Maharashtra)",NA,NA,NA,NA
122,Pradhani  Shri Khagapati,Shri Tankodhar Pradhani,15/07/1922,"Mengara, Distt. Koraput (Orissa)",NA,NA,NA,NA
123,Raghavan  Shri V.V.,Shri Velappan,23/06/1923,Trichur (Kerala),NA,NA,NA,NA
124,Rai  Shri Kalpnath,Late Shri Abhai Narayan Rai,4/1/1941,"Semari Jamalpur, Distt. Mau (Uttar Pradesh)",NA,NA,NA,NA
125,Rajarethinam  Shri P.,Shri V. Palanimuthu,21/04/1961,"Padalur, Distt. Perambalur (Tamil Nadu)",NA,NA,NA,NA
126,Rajput  Shri Ganga Charan,Shri Ram Swaroop,5/5/1960,"Vill. Bamhori Kalan Orai, Distt. Jalaun
			(Uttar Pradesh)",NA,NA,NA,NA
127,Ramaiah  Shri Sode,Shri Sode Muneiah,23/07/1943,"Vill. Kondrajupeta, Distt. Khammam 
			(Andhra Pradesh)",NA,NA,NA,NA
128,Ramamurthy  Shri Vazhappady Koothappadayachi,Shri Koothappadayachi,18/01/1940,"Vazhappady, Distt. Salem (Tamil Nadu)",NA,NA,NA,NA
130,Rao  Shri Gudivada Gurunadha,Shri  Appanna,4/5/1955,"Vill. Mindi, Distt. Visakhapatnam (Andhra Pradesh)",NA,NA,NA,NA
131,Rao  Shri Nadendla Bhaskara,Shri Pitchaiah,23/06/1935,Guntur (Andhra Pradesh),NA,NA,NA,NA
132,Rawat  Shri Baijnath,Shri Raja Ram Rawat,25/01/1954,"Bhulbhulia, Distt. Barabanki (Uttar Pradesh)",NA,NA,NA,NA
133,Rawat  Shri Bhagwan Shankar,Shri Ram Chandra Sharma,4/12/1940,"Rawatpara, Distt. Agra (Uttar Pradesh)",NA,NA,NA,NA
134,Reddy  Dr. B.N.,Late Shri B. Ramachandra Reddy,21/06/1931,"Nakrekal, Distt. Nalgonda (Andhra Pradesh)",NA,NA,NA,NA
135,Reddy  Shri Kotla Vijaya Bhaskara,Shri K. Pedda Nagi Reddy,16/08/1920,"Vill. Amakathadu, Laddagiri, Distt.
			Kurnool(Andhra Pradesh)",NA,NA,NA,NA
136,Reddy  Shri M. Baga,Shri Buchi Reddy,17/06/1930,"Malchalma, Distt. Medak (Andhra Pradesh)",NA,NA,NA,NA
137,Reddy  Dr. T. Subbarami,Shri T. Babu Reddy,17/09/1943,Nellore (Andhra Pradesh),NA,NA,NA,NA
138,Reddy  Dr. Y.S. Raja Sekara,Shri Raja Reddy,8/7/1949,"Vill. Jammalamadugu, Distt. Cuddapah 
			(Andhra Pradesh)",NA,NA,NA,NA
139,Rishideo  Shri Ramji Das,Late Shri Galo Das,6/5/1954,"Vill. Gokhalapur, Distt. Araria (Bihar)",NA,NA,NA,NA
140,Rosaiah  Shri Konijeti,Shri Subbaiah,4/7/1933,"Vemur, Distt. Guntur (Andhra Pradesh)",NA,NA,NA,NA
141,Roy  Dr. Devendra Bahadur,Late Shri R.N. Roy,3/10/1945,"Saryupur, Sultanpur, 
			Distt. Ballia (Uttar Pradesh)",NA,NA,NA,NA
142,Roy  Dr. Hira Lal,Late Shri Sitaram Roy,26/09/1936,"Suratpur, Distt. Saran (Bihar)",NA,NA,NA,NA
143,Sahu  Shri Chandrashekhar,Shri Sunder Lal Sahu,2/7/1956,"Manik Chauri, Distt. Raipur (Madhya Pradesh)",NA,NA,NA,NA
144,Sai  Shri Larang,Shri Ghur Sai,28/10/1938,"Vill. Jaswantpur, Distt. Sarguja (Madhya Pradesh)",NA,NA,NA,NA
145,Sankaran  Shri P.,Shri K. Kelu Nair,1/4/1948,"Kadiyangad, Distt. Calicut (Kerala)",NA,NA,NA,NA
146,Sarnaik  Shri Ajay Kumar S.,Shri Sambasadashiv,12/5/1956,Bagalkot (Karnataka),NA,NA,NA,NA
147,Sathiamoorthy  Shri V.,Shri Vadivelu Thevar,20/03/1945,"Melaselvanoor, Distt. Ramanathapuram (Tamil Nadu)",NA,NA,NA,NA
148,Satrucharla  Shri Vijayarama Raju,Shri B.N. Raju,4/8/1948,"Chinamerangi, Distt. Vizianagaram (Andhra Pradesh)",NA,NA,NA,NA
149,Sayeed  Shri Mufti Mohammed,Late Shri Mufti Ghulam Mohammed,12/1/1936,"Bijbehara, Distt. Anantnag (Jammu and Kashmir)",NA,NA,NA,NA
150,Scindia  Smt. Vijaya Raje,Late Thakur Mahendra Singh,12/10/1919,Sagar (Madhya Pradesh),NA,NA,NA,NA
151,Sedam  Shri Baswaraj Patil,Shri Ganpath Rao Patil,10/2/1944,"Vill. Tarnalli, Distt. Gulbarga (Karnataka)",NA,NA,NA,NA
152,Shakya  Shri Mahadeepak Singh,Shri Jodha Singh Shakya,25/07/1922,"Agaunapur, Distt. Etah (Uttar Pradesh)",NA,NA,NA,NA
153,Shamanur  Shri Shivashankarappa,Shri S. Kallappa,16/06/1931,Distt. Davangere (Karnataka),NA,NA,NA,NA
154,Sharma  Shri Krishan Lal,Late Shri Ram Narain,1/11/1925,"Ludhran, Distt. Multan (now in Pakistan)",NA,NA,NA,NA
155,Shastri  Dr. Bizay Sonkar,Late Shri Shivalal Sonkar `Netaji',24/09/1959,"Chandpur, Distt. Varanasi (Uttar Pradesh)",NA,NA,NA,NA
156,Shetty  Shri Jayarama I.M.,Shri Irmady Bhujanga Shetty,1/5/1951,"Moodalakatte, Distt. Udupi (Karnataka)",NA,NA,NA,NA
157,Shiv Shanker  Shri P.,Late Shri P. Bashiah,10/8/1929,"Mamidipalli, Distt. Hyderabad (Andhra Pradesh)",NA,NA,NA,NA
158,Siddaraju  Shri A.,Shri K. Ankaidu,8/6/1948,"Agathagowdanahally, Distt. Chmarajanagar,
			Taluk Gundlupet (Karnataka)",NA,NA,NA,NA
159,Singh  Shri Amar Pal,Shri Durga Singh,31/05/1946,"Vill. Dhibouli, Distt. Meerut
			(Uttar Pradesh)",NA,NA,NA,NA
160,Singh  Shri Ashok,Shri Devendra Nath Singh,12/1/1955,"Vill. Laloopur Chauhan, Distt. Rae Bareli
			(Uttar Pradesh)",NA,NA,NA,NA
161,Singh  Shri Bashist Narayan,Late Shri Kamta Prasad Singh,24/10/1949,"Kopwan, Distt. Buxar (Bihar)",NA,NA,NA,NA
162,Singh  Shri Chatin S.,Late Shri Santa Singh,20/11/1942,"Samaon, Distt. Mansa (Punjab)",NA,NA,NA,NA
163,Singh  Shri Devi Bux,Late Shri Brij Lal Singh,14/05/1940,"Vill. Karmi Gadhewa, Distt. Unnao 
			(Uttar Pradesh)",NA,NA,NA,NA
164,Singh  Shri H.P.,Late Shri L. P. Singh,27/09/1947,"Dhamaar, Distt. Bhojpur (Bihar)",NA,NA,NA,NA
165,Singh  Shri Jagannath,Shri Dadai Singh,7/3/1946,"Vill. Chitarangi, Distt. Sidhi (Madhya radesh)",NA,NA,NA,NA
166,Singh  Shri K. Natwar,Shri Govind Singhji,16/05/1931,Bharatpur (Rajasthan),NA,NA,NA,NA
167,Singh  Shri Raghvendra,Late Shri A.B. Singh,26/01/1951,Hardoi (Uttar Pradesh),NA,NA,NA,NA
168,Singh  Shri Rajveer,Late Shri Dharamvir Singh,15/10/1938,Haldwani (Uttar Pradesh),NA,NA,NA,NA
169,Singh  Shri Sohan Veer,Shri Ratan Singh,4/10/1950,"Vill. Rajpur, Distt. Muzaffarnagar
			(Uttar Pradesh)",NA,NA,NA,NA
170,Sirpotdar  Shri Madhukar,Shri Raghunath Sirpotdar,31/01/1936,"Anjanari, Distt. Ratnagiri 
		    (Maharashtra)",NA,NA,NA,NA
171,Sodhi  Shri Daya Singh,Shri Kartar Singh,1/2/1925,"Butala, Distt. Amritsar (Punjab)",NA,NA,NA,NA
172,Som Pal  Shri,Late Shri Raghuvir Singh Shastri,20/01/1942,"Vill. Kakor Kalan, Distt. Meerut (Uttar Pradesh)",NA,NA,NA,NA
173,Soy  Shri Vijay Singh,Late Shri Kanu Ram Soy,11/11/1956,"Pindki, Distt. West Singhbhum (Bihar)",NA,NA,NA,NA
174,Soz  Prof. Saifuddin,Late Shri Hakim Habibullah,23/11/1937,Married on 9 November 1961,NA,NA,NA,NA
175,Srinivas  Shri M.,Shri Muniswamappa,30/09/1942,"Uttarahalli, Distt. Bangalore (Karnataka)",NA,NA,NA,NA
176,Suguna Kumari  Dr.(Smt.) Chellamalla,Shri C. Pochaiah,25/07/1955,Hyderabad (Andhra Pradesh),NA,NA,NA,NA
177,Sultanpuri  Shri Krishan Datt,Late Shri Durga Singh,20/04/1932,"Vill. Sultanpur, Distt. Solan 
			(Himachal Pradesh)",NA,NA,NA,NA
178,Surender Singh  Shri,Shri Bansi Lal,25/07/1946,"Golagarh, Distt. Bhiwani (Haryana)",NA,NA,NA,NA
179,Swamy  Dr. Subramanian,Shri Sitarama Subramanian,15/09/1939,Madras (Tamil Nadu),NA,NA,NA,NA
180,Tandel  Shri Devji Bhai J.,Shri Jogibhai Tandel,10/12/1950,Daman (Daman and Diu),NA,NA,NA,NA
181,Tanpure  Shri Prasad Baburao,Shri Baburao Bapuji Tanpure,21/07/1942,"Rahuni, Distt. Ahmadnagar (Maharashtra)",NA,NA,NA,NA
